batch,clients,fault,throughput,latency
1,1,free,9.2462,109.08
1,2,free,12.3918,162.17
1,3,free,12.6972,236.388
1,4,free,12.7196,314.793
1,1,crash,4.3551,230.4626
1,2,crash,5.3876,383.3861
1,3,crash,5.6112,547.3300
1,4,crash,5.5920,728.4455
1,1,delay,4.3551,230.5707 
1,2,delay,5.3158,383.4257
1,3,delay,5.7171,537.6171 
1,4,delay,5.6900,717.1287
1,1,badsig,4.3551,230.5707 
1,2,badsig,5.3158,381.9257
1,3,badsig,5.7171,537.4488
1,4,badsig,5.6900,713.1906
1,1,both,4.3551,230.5324
1,2,both,5.3158,381.4801
1,3,both,5.6150,543.0099
1,4,both,5.6900,716.2747
